ticker,sector,market_cap,gross_margin,roe,debt_to_equity,fcf
FTV,Technology,17422350336.0,0.59981,0.07695,39.337,1406400000.0
FOXA,Communication Services,24291706880.0,0.34535998,0.16621,68.321,1495000000.0
FOX,Communication Services,24314292224.0,0.34535998,0.16621,68.321,1495000000.0
BEN,Financial Services,12964602880.0,0.37884,0.02799,24.117,794200000.0
FCX,Basic Materials,62846099456.0,0.38916,0.14645,30.841,2352000000.0
GRMN,Technology,45508988928.0,0.58585,0.19036,2.181,1238900000.0
IT,Technology,27128522752.0,0.67787004,1.13185,192.54,1383185000.0
GE,Industrials,286965661696.0,0.319,0.39567003,103.37,3678000000.0
GEHC,Healthcare,35595976704.0,0.42001998,0.26444,97.515,1550000000.0
GEV,Industrials,176308584448.0,0.18468,0.11412,10.646,1700000000.0
GEN,Technology,18929420288.0,0.8028,0.29167998,366.461,1206000000.0
GNRC,Industrials,9184826368.0,0.39581,0.13798,57.434,604568000.0
GD,Industrials,84221706240.0,0.15402001,0.17915002,45.034,3196000000.0
GIS,Consumer Defensive,27040036864.0,0.34602,0.24590999,166.066,2292900000.0
GM,Consumer Cyclical,50888568832.0,0.109689996,0.06955,200.191,-5980000000.0
GPC,Consumer Cyclical,18508974080.0,0.3688,0.17443001,136.085,683912000.0
GILD,Healthcare,144545021952.0,0.78288,0.32654998,130.789,10305000000.0
GPN,Industrials,20659075072.0,0.62867,0.07102,73.574,2857766000.0
GL,Financial Services,11073954816.0,0.32554,,58.407,1331395000.0
GDDY,Technology,23658706944.0,0.63984,2.45696,1945.769,1261100000.0
GS,Financial Services,222045487104.0,0.82781,0.12762,532.258,-15303000000.0
HAL,Energy,19473428480.0,0.17063999,0.18229,81.17,2423000000.0
HIG,Financial Services,34444648448.0,0.34658,0.18495001,25.92,5764000000.0
HAS,Consumer Cyclical,10691842048.0,0.63931,-0.77416,1231.331,649900000.0
HCA,Healthcare,81925070848.0,0.40890998,136.31683,,5639000000.0
DOC,Real Estate,12230521856.0,0.60089,0.02138,109.007,1070497000.0
HSIC,Healthcare,8807852032.0,0.31605,0.084680006,68.32,661000000.0
HSY,Consumer Defensive,37392592896.0,0.42560002,0.37483,134.279,1925654000.0
HPE,Technology,27399153664.0,0.30336002,0.06373,73.382,1974000000.0
HLT,Consumer Cyclical,63636443136.0,0.77087,,,1815000000.0
HOLX,Healthcare,14638688256.0,0.61013,0.11766,54.799,1145000000.0
HD,Consumer Cyclical,375316709376.0,0.33344,2.9951901,778.781,16325000000.0
HON,Industrials,142902624256.0,0.38077,0.33602002,226.06,4933000000.0
HRL,Consumer Defensive,15699501056.0,0.16558,0.09373,35.538,1010297000.0
HST,Real Estate,11531036672.0,0.29127002,0.09996,83.171,950000000.0
HWM,Industrials,75959328768.0,0.31941998,0.28295,72.684,977000000.0
HPQ,Technology,24280207360.0,0.21154,,,3157000000.0
HUBB,Industrials,23393744896.0,0.34213,0.25917,61.442,810800000.0
HUM,Healthcare,27942844416.0,0.15123,0.10099,77.075,2391000000.0
HBAN,Financial Services,24392409088.0,0.0,0.10505,,1672000000.0
HII,Industrials,10299871232.0,0.12814,0.12271,71.36,26000000.0
IBM,Technology,245185101824.0,0.5757,0.22665001,245.465,11760000000.0
IEX,Industrials,13932690432.0,0.44592997,0.12724,50.344,603000000.0
IDXX,Healthcare,45559009280.0,0.61275,0.59330004,73.159,798079000.0
ITW,Industrials,76278104064.0,0.43707,1.07584,254.874,2844000000.0
INCY,Healthcare,13580871680.0,0.37054002,0.0046900003,1.176,235174000.0
IR,Industrials,35613659136.0,0.43797,0.081099994,46.107,1247600000.0
PODD,Healthcare,20568469504.0,0.70394,0.37917998,131.405,296300000.0
INTC,Technology,90516357120.0,0.31419,-0.18616,47.997,-15656000000.0
ICE,Financial Services,104853086208.0,1.0,0.10421,73.534,3857000000.0
IFF,Basic Materials,19243081728.0,0.36183,-0.060349997,75.009,602000000.0
IP,Consumer Cyclical,29298561024.0,0.28988,0.03006,57.086,757000000.0
IPG,Communication Services,9347107840.0,0.236,0.11933,110.56,913400000.0
INTU,Technology,222803345408.0,0.80263,0.17839001,,4634000000.0
ISRG,Healthcare,177069719552.0,0.66612,0.1604,,1303800000.0
IVZ,Financial Services,9669279744.0,0.28087,0.03848,12.594,1120900000.0
INVH,Real Estate,19559204864.0,0.58558,0.048070002,83.399,862411000.0
IQV,Healthcare,33619200000.0,0.34248,0.19792,272.122,2114000000.0
IRM,Real Estate,28914311168.0,0.56054,,,-657242000.0
JBHT,Industrials,14364047360.0,0.18792,0.14328,55.748,617783000.0
JBL,Technology,24124237824.0,0.08859,0.32388002,265.268,932000000.0
JKHY,Technology,12770470912.0,0.42058998,0.22494,10.972,335618000.0
J,Industrials,17215950848.0,0.25028,0.06804,66.356,933559000.0
JNJ,Healthcare,400314269696.0,0.68412,0.30212,64.686,18059000000.0
JCI,Industrials,73385394176.0,0.36012,0.13137001,65.788,1604000000.0
JPM,Financial Services,820171505664.0,0.0,0.16211,,-42012000000.0
K,Consumer Defensive,27682263040.0,0.36668998,0.38149,155.528,1132000000.0
KVUE,Consumer Defensive,42929188864.0,0.58241004,0.10216,88.043,1335000000.0
KDP,Consumer Defensive,44787765248.0,0.54934,0.06181,74.745,1597000000.0
KEY,Financial Services,20513579008.0,0.0,0.0101499995,,599000000.0
KEYS,Technology,28673359872.0,0.61882997,0.14297,50.484,898000000.0
KMB,Consumer Defensive,42094178304.0,0.36451998,2.0706,595.098,2513000000.0
KIM,Real Estate,14578488320.0,0.68698996,0.05208,75.54,1005621000.0
